Date,Size [B],Used [B]
2021-04-30T13:01:05.528624,428502408,479564408
2021-04-30T13:01:08.028827,396916496,511150320
2021-04-30T13:01:10.529051,364555976,543510840
2021-04-30T13:01:13.029313,333089344,574977472
2021-04-30T13:01:15.529568,300495992,607570824
2021-04-30T13:01:18.029824,270184136,637882680
2021-04-30T13:01:20.530178,234532552,673534264
2021-04-30T13:01:23.030430,203051432,705015384
2021-04-30T13:01:25.530659,173713096,734353720
2021-04-30T13:01:28.030906,142255816,765811000
2021-04-30T13:01:30.531170,605557152,302509664
2021-04-30T13:01:33.031420,573051296,335015520
2021-04-30T13:01:35.531755,542644640,365422176
2021-04-30T13:01:38.032037,510114528,397952288
2021-04-30T13:01:40.532291,478592832,429473984
2021-04-30T13:01:43.032536,440908496,467158320
2021-04-30T13:01:45.532757,408424864,499641952
2021-04-30T13:01:48.032969,373814432,534252384
2021-04-30T13:01:50.533209,341318048,566748768
2021-04-30T13:01:53.033490,309829240,598237576
2021-04-30T13:01:55.533782,278394136,629672680
2021-04-30T13:01:58.034015,246922032,661144784
2021-04-30T13:02:00.534258,212304104,695762712
2021-04-30T13:02:03.034505,180876440,727190376
2021-04-30T13:02:05.534756,143127792,764939024
2021-04-30T13:02:08.035035,605838048,302228768
2021-04-30T13:02:10.535339,571244584,336822232
2021-04-30T13:02:13.035632,538736680,369330136
2021-04-30T13:02:15.535895,507242072,400824744
2021-04-30T13:02:18.036150,474707344,433359472
2021-04-30T13:02:20.536397,439124008,468942808
2021-04-30T13:02:23.036642,404518952,503547864
2021-04-30T13:02:25.536916,372015144,536051672
2021-04-30T13:02:28.037208,333215784,574851032
2021-04-30T13:02:30.537486,300711976,607354840
2021-04-30T13:02:33.037735,269207680,638859136
2021-04-30T13:02:35.537961,235700264,672366552
2021-04-30T13:02:38.038154,203132272,704934544
2021-04-30T13:02:40.538350,169637928,738428888
2021-04-30T13:02:43.038626,138180648,769886168
2021-04-30T13:02:45.538886,606568432,301498384
2021-04-30T13:02:48.039140,575211072,332855744
2021-04-30T13:02:50.539393,544800320,363266496
2021-04-30T13:02:53.039626,508100160,399966656
2021-04-30T13:02:55.539872,475594304,432472512
2021-04-30T13:02:58.040124,442032248,466034568
2021-04-30T13:03:00.540361,410574944,497491872
2021-04-30T13:03:03.040664,378078784,529988032
2021-04-30T13:03:05.540892,346621504,561445312
2021-04-30T13:03:08.041129,316172784,591894032
2021-04-30T13:03:10.541376,283706944,624359872
2021-04-30T13:03:13.041648,252172696,655894120
2021-04-30T13:03:15.541885,213308768,694758048
2021-04-30T13:03:18.042073,181993024,726073792
2021-04-30T13:03:20.542273,150326736,757740080
2021-04-30T13:03:23.042580,620940288,287126528
2021-04-30T13:03:25.542825,587281680,320785136
2021-04-30T13:03:28.043100,555928576,352138240
2021-04-30T13:03:30.543343,522228496,385838320
2021-04-30T13:03:33.043582,489866240,418200576
2021-04-30T13:03:35.543787,458207512,449859304
2021-04-30T13:03:38.044021,416465920,491600896
2021-04-30T13:03:40.544283,382740216,525326600
2021-04-30T13:03:43.044559,349357056,558709760
2021-04-30T13:03:45.544779,315666480,592400336
2021-04-30T13:03:48.044983,283289160,624777656
2021-04-30T13:03:50.545190,250670856,657395960
2021-04-30T13:03:53.045451,218285056,689781760
2021-04-30T13:03:55.545679,184640368,723426448
2021-04-30T13:03:58.045900,150127616,757939200
2021-04-30T13:04:00.546146,618766560,289300256
2021-04-30T13:04:03.046385,587251016,320815800
2021-04-30T13:04:05.546611,554802992,353263824
2021-04-30T13:04:08.046793,520308400,387758416
2021-04-30T13:04:10.547001,492906360,415160456
2021-04-30T13:04:13.047240,459445600,448621216
2021-04-30T13:04:15.547479,427894272,480172544
2021-04-30T13:04:18.047699,393415600,514651216
2021-04-30T13:04:20.547953,357686960,550379856
2021-04-30T13:04:23.048170,323130816,584936000
2021-04-30T13:04:25.548405,289519120,618547696
2021-04-30T13:04:28.048623,255984040,652082776
2021-04-30T13:04:30.548847,223398224,684668592
2021-04-30T13:04:33.049087,191040368,717026448
2021-04-30T13:04:35.549315,158416208,749650608
2021-04-30T13:04:38.049517,623801456,284265360
2021-04-30T13:04:40.549727,590201856,317864960
2021-04-30T13:04:43.049963,551567464,356499352
2021-04-30T13:04:45.550197,519905568,388161248
2021-04-30T13:04:48.050420,485509224,422557592
2021-04-30T13:04:50.550629,450797584,457269232
2021-04-30T13:04:53.050881,417257776,490809040
2021-04-30T13:04:55.551106,385834920,522231896
2021-04-30T13:04:58.051335,353386600,554680216
2021-04-30T13:05:00.551536,320755104,587311712
2021-04-30T13:05:03.051999,288344232,619722584
2021-04-30T13:05:05.552355,247277912,660788904
2021-04-30T13:05:08.052735,213902984,694163832
2021-04-30T13:05:10.552919,180237560,727829256
2021-04-30T13:05:13.053143,145745544,762321272
2021-04-30T13:05:15.553391,611391096,296675720
2021-04-30T13:05:18.053590,580063984,328002832
2021-04-30T13:05:20.553782,547419920,360646896
2021-04-30T13:05:23.053998,514915944,393150872
2021-04-30T13:05:25.554216,481393360,426673456
2021-04-30T13:05:28.054424,437389072,470677744
2021-04-30T13:05:30.554645,401678056,506388760
2021-04-30T13:05:33.054873,368251632,539815184
2021-04-30T13:05:35.555110,335614032,572452784
2021-04-30T13:05:38.055341,306387696,601679120
2021-04-30T13:05:40.555591,272831216,635235600
2021-04-30T13:05:43.055824,240317728,667749088
2021-04-30T13:05:45.556054,206663296,701403520
2021-04-30T13:05:48.056316,174219432,733847384
2021-04-30T13:05:50.556598,139500440,768566376
2021-04-30T13:05:53.056863,605605896,302460920
2021-04-30T13:05:55.557116,571918824,336147992
2021-04-30T13:05:58.057373,539467080,368599736
2021-04-30T13:06:00.557615,506929752,401137064
2021-04-30T13:06:03.057886,474524192,433542624
2021-04-30T13:06:05.558117,441970592,466096224
2021-04-30T13:06:08.058339,410545768,497521048
2021-04-30T13:06:10.558545,374785384,533281432
2021-04-30T13:06:13.058771,340314120,567752696
2021-04-30T13:06:15.559030,306524880,601541936
2021-04-30T13:06:18.059295,275219208,632847608
2021-04-30T13:06:20.559539,242798600,665268216
2021-04-30T13:06:23.059781,211339272,696727544
2021-04-30T13:06:25.560013,175689736,732377080
2021-04-30T13:06:28.060226,143181832,764884984
2021-04-30T13:06:30.560435,614825344,293241472
2021-04-30T13:06:33.060623,580360792,327706024
2021-04-30T13:06:35.560854,544711256,363355560
2021-04-30T13:06:38.061076,507893632,400173184
2021-04-30T13:06:40.561320,472156560,435910256
2021-04-30T13:06:43.061558,434570304,473496512
2021-04-30T13:06:45.561791,397783712,510283104
2021-04-30T13:06:48.062009,361200728,546866088
2021-04-30T13:06:50.562258,324510296,583556520
2021-04-30T13:06:53.062510,285710936,622355880
2021-04-30T13:06:55.562720,250991272,657075544
2021-04-30T13:06:58.062891,214353888,693712928
2021-04-30T13:07:00.563110,178633472,729433344
2021-04-30T13:07:03.063338,149396056,758670760
2021-04-30T13:07:05.563588,118805552,789261264
2021-04-30T13:07:08.063826,595136488,312930328
2021-04-30T13:07:10.564037,559363832,348702984
2021-04-30T13:07:13.064239,522716048,385350768
2021-04-30T13:07:15.564487,487125472,420941344
2021-04-30T13:07:18.064742,454481160,453585656
2021-04-30T13:07:20.565017,421976208,486090608
2021-04-30T13:07:23.065297,386439160,521627656
2021-04-30T13:07:25.565791,353825160,554241656
2021-04-30T13:07:28.066022,322491344,585575472
2021-04-30T13:07:30.566249,288806240,619260576
2021-04-30T13:07:33.066515,256415624,651651192
2021-04-30T13:07:35.566750,224856392,683210424
2021-04-30T13:07:38.066999,193533928,714532888
2021-04-30T13:07:40.567262,160863800,747203016
2021-04-30T13:07:43.067518,128522216,779544600
2021-04-30T13:07:45.567734,596150296,311916520
2021-04-30T13:07:48.067934,565601536,342465280
2021-04-30T13:07:50.568169,533235736,374831080
2021-04-30T13:07:53.068411,499681304,408385512
2021-04-30T13:07:55.568626,467012928,441053888
2021-04-30T13:07:58.068806,436749392,471317424
2021-04-30T13:08:00.569016,405149808,502917008
2021-04-30T13:08:03.069284,371745320,536321496
2021-04-30T13:08:05.569504,339102048,568964768
2021-04-30T13:08:08.069699,305669696,602397120
2021-04-30T13:08:10.569920,270866656,637200160
2021-04-30T13:08:13.070152,237512296,670554520
2021-04-30T13:08:15.570342,203826496,704240320
2021-04-30T13:08:18.070560,170428440,737638376
2021-04-30T13:08:20.570754,140936184,767130632
2021-04-30T13:08:23.070994,614910760,293156056
2021-04-30T13:08:25.571255,581154088,326912728
2021-04-30T13:08:28.071485,549899048,358167768
2021-04-30T13:08:30.571723,519269720,388797096
2021-04-30T13:08:33.071938,488031016,420035800
2021-04-30T13:08:35.572156,454342088,453724728
2021-04-30T13:08:38.072357,423003824,485062992
2021-04-30T13:08:40.572565,390515496,517551320
2021-04-30T13:08:43.072760,359056168,549010648
2021-04-30T13:08:45.572978,327401552,580665264
2021-04-30T13:08:48.073217,294036688,614030128
2021-04-30T13:08:50.573396,258394920,649671896
2021-04-30T13:08:53.073567,221692712,686374104
2021-04-30T13:08:55.573777,184825472,723241344
2021-04-30T13:08:58.074015,149263880,758802936
2021-04-30T13:09:00.574220,114632016,793434800
2021-04-30T13:09:03.074466,590499176,317567640
2021-04-30T13:09:05.574723,556647720,351419096
2021-04-30T13:09:08.074985,521295208,386771608
2021-04-30T13:09:10.575230,486462992,421603824
2021-04-30T13:09:13.075466,448839712,459227104
2021-04-30T13:09:15.575714,415198440,492868376
2021-04-30T13:09:18.075930,379719728,528347088
2021-04-30T13:09:20.576134,345976440,562090376
2021-04-30T13:09:23.076367,312564056,595502760
2021-04-30T13:09:25.576596,279946968,628119848
2021-04-30T13:09:28.076819,247552320,660514496
2021-04-30T13:09:30.577062,212798552,695268264
2021-04-30T13:09:33.077306,178385320,729681496
2021-04-30T13:09:35.577550,145727688,762339128
2021-04-30T13:09:38.077784,623052344,285014472
2021-04-30T13:09:40.578026,587751496,320315320
2021-04-30T13:09:43.078267,554197064,353869752
2021-04-30T13:09:45.578509,517317824,390748992
2021-04-30T13:09:48.078737,481843272,426223544
2021-04-30T13:09:50.578947,447232400,460834416
2021-04-30T13:09:53.079177,413687880,494378936
2021-04-30T13:09:55.579409,381017048,527049768
2021-04-30T13:09:58.079601,345520480,562546336
2021-04-30T13:10:00.579763,308672440,599394376
2021-04-30T13:10:03.079938,273153032,634913784
2021-04-30T13:10:05.580134,241562760,666504056
2021-04-30T13:10:08.080329,207108488,700958328
2021-04-30T13:10:10.580505,174437328,733629488
2021-04-30T13:10:13.080688,137863024,770203792
2021-04-30T13:10:15.580903,620471136,287595680
2021-04-30T13:10:18.081146,585006144,323060672
2021-04-30T13:10:20.581389,549127856,358938960
2021-04-30T13:10:23.081632,514749504,393317312
2021-04-30T13:10:25.581971,478880744,429186072
2021-04-30T13:10:28.082207,443446336,464620480
2021-04-30T13:10:30.582541,407593112,500473704
2021-04-30T13:10:33.082789,373193792,534873024
2021-04-30T13:10:35.583006,340460056,567606760
2021-04-30T13:10:38.083242,307044560,601022256
2021-04-30T13:10:40.583432,268147656,639919160
2021-04-30T13:10:43.083629,233731136,674335680
