"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]"
"10:13:53.686, 29 Apr 2021","3,4","0,0","828 375 072","354 168 000"
"10:13:54.686, 29 Apr 2021","2,3","0,0","828 375 072","370 945 216"
"10:13:55.686, 29 Apr 2021","2,4","0,0","828 375 072","385 625 280"
"10:13:56.686, 29 Apr 2021","7,7","0,0","828 375 072","402 402 496"
"10:13:57.686, 29 Apr 2021","3,2","0,0","828 375 072","419 179 712"
"10:13:58.686, 29 Apr 2021","2,4","0,0","828 375 072","435 956 928"
"10:13:59.686, 29 Apr 2021","4,6","0,0","828 375 072","450 636 992"
"10:14:00.686, 29 Apr 2021","3,4","0,0","828 375 072","467 414 208"
"10:14:01.687, 29 Apr 2021","2,2","0,0","828 375 072","484 191 424"
"10:14:02.687, 29 Apr 2021","2,1","0,0","828 375 072","498 871 488"
"10:14:03.687, 29 Apr 2021","2,0","0,0","828 375 072","515 648 704"
"10:14:04.687, 29 Apr 2021","2,3","0,0","828 375 072","534 523 072"
"10:14:05.687, 29 Apr 2021","2,0","0,0","828 375 072","549 203 136"
"10:14:06.687, 29 Apr 2021","2,5","0,0","828 375 072","565 980 352"
"10:14:07.687, 29 Apr 2021","4,2","0,0","828 375 072","582 757 568"
"10:14:08.687, 29 Apr 2021","2,9","0,0","828 375 072","149 287 568"
"10:14:09.688, 29 Apr 2021","2,2","0,0","828 375 072","166 064 784"
"10:14:10.688, 29 Apr 2021","1,9","0,0","828 375 072","180 744 848"
"10:14:11.688, 29 Apr 2021","2,0","0,0","828 375 072","195 424 912"
"10:14:12.688, 29 Apr 2021","2,4","0,0","828 375 072","214 299 280"
"10:14:13.688, 29 Apr 2021","2,1","0,0","828 375 072","228 979 344"
"10:14:14.688, 29 Apr 2021","2,3","0,0","828 375 072","247 853 712"
"10:14:15.688, 29 Apr 2021","2,4","0,0","828 375 072","262 533 776"
"10:14:16.689, 29 Apr 2021","2,2","0,0","828 375 072","277 213 840"
"10:14:17.689, 29 Apr 2021","2,1","0,0","828 375 072","291 893 904"
"10:14:18.689, 29 Apr 2021","2,1","0,0","828 375 072","306 573 968"
"10:14:19.689, 29 Apr 2021","2,1","0,0","828 375 072","323 351 184"
"10:14:20.689, 29 Apr 2021","2,0","0,0","828 375 072","338 031 248"
"10:14:21.689, 29 Apr 2021","2,3","0,0","828 375 072","352 711 312"
"10:14:22.689, 29 Apr 2021","2,1","0,0","828 375 072","369 488 528"
"10:14:23.689, 29 Apr 2021","2,4","0,0","828 375 072","386 265 744"
"10:14:24.690, 29 Apr 2021","2,5","0,0","828 375 072","405 140 112"
"10:14:25.690, 29 Apr 2021","2,8","0,0","828 375 072","419 820 176"
"10:14:26.690, 29 Apr 2021","4,4","0,0","828 375 072","436 597 392"
"10:14:27.690, 29 Apr 2021","2,1","0,0","828 375 072","451 277 456"
