Date,Size [B],Used [B]
2021-04-30T08:40:59.024026,849390456,350180488
2021-04-30T08:41:01.524204,822193336,377377608
2021-04-30T08:41:04.024382,794983240,404587704
2021-04-30T08:41:06.524560,769714008,429856936
2021-04-30T08:41:09.024742,744527584,455043360
2021-04-30T08:41:11.524918,717255720,482315224
2021-04-30T08:41:14.025100,671259808,528311136
2021-04-30T08:41:16.525279,512249608,687321336
2021-04-30T08:41:19.025467,331658152,867912792
2021-04-30T08:41:21.525647,304521152,895049792
2021-04-30T08:41:24.025817,277327416,922243528
2021-04-30T08:41:26.526001,249923328,949647616
2021-04-30T08:41:29.026181,220643840,978927104
2021-04-30T08:41:31.526368,193448544,1006122400
2021-04-30T08:41:34.026556,166146352,1033424592
2021-04-30T08:41:36.526742,810559368,389011576
2021-04-30T08:41:39.026926,781195256,418375688
2021-04-30T08:41:41.527105,753957048,445613896
2021-04-30T08:41:44.027288,726407064,473163880
2021-04-30T08:41:46.527466,699046168,500524776
2021-04-30T08:41:49.027645,669752664,529818280
2021-04-30T08:41:51.527828,642491936,557079008
2021-04-30T08:41:54.028012,613518408,586052536
2021-04-30T08:41:56.528198,587919592,611651352
2021-04-30T08:41:59.028377,558634904,640936040
2021-04-30T08:42:01.528567,531352936,668218008
2021-04-30T08:42:04.028774,506419496,693151448
2021-04-30T08:42:06.528961,477117976,722452968
2021-04-30T08:42:09.029231,447830072,751740872
2021-04-30T08:42:11.529404,420167632,779403312
2021-04-30T08:42:14.029576,395251152,804319792
2021-04-30T08:42:16.529752,365942528,833628416
2021-04-30T08:42:19.029920,336646152,862924792
2021-04-30T08:42:21.530090,309031056,890539888
2021-04-30T08:42:24.030260,281804952,917765992
2021-04-30T08:42:26.530434,252650320,946920624
2021-04-30T08:42:29.030608,225444152,974126792
2021-04-30T08:42:31.530812,197844968,1001725976
2021-04-30T08:42:34.030983,168521664,1031049280
2021-04-30T08:42:36.531151,820636536,378934408
2021-04-30T08:42:39.031316,793364776,406206168
2021-04-30T08:42:41.531491,766052192,433518752
2021-04-30T08:42:44.031669,736836784,462734160
2021-04-30T08:42:46.531845,709422192,490148752
2021-04-30T08:42:49.032022,680137648,519433296
2021-04-30T08:42:51.532194,652943704,546627240
2021-04-30T08:42:54.032365,625582152,573988792
2021-04-30T08:42:56.532548,596325552,603245392
2021-04-30T08:42:59.032724,569022280,630548664
2021-04-30T08:43:01.532898,541761192,657809752
2021-04-30T08:43:04.033088,514538672,685032272
2021-04-30T08:43:06.533263,487194432,712376512
2021-04-30T08:43:09.033433,459969352,739601592
2021-04-30T08:43:11.533600,432680248,766890696
2021-04-30T08:43:14.033772,405384376,794186568
2021-04-30T08:43:16.533945,378188320,821382624
2021-04-30T08:43:19.034116,348851960,850718984
2021-04-30T08:43:21.534289,321598640,877972304
2021-04-30T08:43:24.034458,294234336,905336608
2021-04-30T08:43:26.534628,267048912,932522032
2021-04-30T08:43:29.034807,239718848,959852096
2021-04-30T08:43:31.534976,212489840,987081104
2021-04-30T08:43:34.035147,185170536,1014400408
2021-04-30T08:43:36.535321,155827840,1043743104
2021-04-30T08:43:39.035496,815522592,384048352
2021-04-30T08:43:41.535674,788252176,411318768
2021-04-30T08:43:44.035856,759059424,440511520
2021-04-30T08:43:46.536028,727569424,472001520
2021-04-30T08:43:49.036201,700339168,499231776
2021-04-30T08:43:51.536370,673022544,526548400
2021-04-30T08:43:54.036546,645813216,553757728
2021-04-30T08:43:56.536718,618431688,581139256
2021-04-30T08:43:59.036892,589167136,610403808
2021-04-30T08:44:01.537067,563859016,635711928
2021-04-30T08:44:04.037236,534572896,664998048
2021-04-30T08:44:06.537409,507399136,692171808
2021-04-30T08:44:09.037580,479953880,719617064
2021-04-30T08:44:11.537755,450729816,748841128
2021-04-30T08:44:14.037925,423513056,776057888
2021-04-30T08:44:16.538092,394152928,805418016
2021-04-30T08:44:19.038261,366800296,832770648
2021-04-30T08:44:21.538434,339602480,859968464
2021-04-30T08:44:24.038609,312291168,887279776
2021-04-30T08:44:26.538788,282960312,916610632
2021-04-30T08:44:29.038962,255740896,943830048
2021-04-30T08:44:31.539138,228375184,971195760
2021-04-30T08:44:34.039314,201157920,998413024
2021-04-30T08:44:36.539487,173781368,1025789576
2021-04-30T08:44:39.039657,829752992,369817952
2021-04-30T08:44:41.539835,802444064,397126880
2021-04-30T08:44:44.040013,775169328,424401616
2021-04-30T08:44:46.540185,745831688,453739256
2021-04-30T08:44:49.040353,716537216,483033728
2021-04-30T08:44:51.540524,689205824,510365120
