"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]"
"10:41:42.344, 29 Apr 2021","2,4","0,0","979 370 016","329 981 952"
"10:41:43.344, 29 Apr 2021","3,9","0,0","979 370 016","355 147 776"
"10:41:44.344, 29 Apr 2021","0,8","0,0","979 370 016","361 439 232"
"10:41:45.344, 29 Apr 2021","0,1","0,0","979 370 016","363 536 384"
"10:41:46.345, 29 Apr 2021","0,9","0,0","979 370 016","371 924 992"
"10:41:47.345, 29 Apr 2021","4,2","0,0","979 370 016","394 993 664"
"10:41:48.345, 29 Apr 2021","1,7","0,0","979 370 016","405 479 424"
"10:41:49.345, 29 Apr 2021","0,0","0,0","979 370 016","407 576 576"
"10:41:50.345, 29 Apr 2021","0,2","0,0","979 370 016","411 770 880"
"10:41:51.345, 29 Apr 2021","2,4","0,0","979 370 016","426 450 944"
"10:41:52.345, 29 Apr 2021","0,6","0,0","979 370 016","430 645 248"
"10:41:53.346, 29 Apr 2021","1,2","0,0","979 370 016","436 936 704"
"10:41:54.346, 29 Apr 2021","1,1","0,0","979 370 016","441 131 008"
"10:41:55.346, 29 Apr 2021","1,3","0,0","979 370 016","449 519 616"
"10:41:56.346, 29 Apr 2021","1,2","0,0","979 370 016","455 811 072"
"10:41:57.346, 29 Apr 2021","1,2","0,0","979 370 016","462 102 528"
"10:41:58.346, 29 Apr 2021","1,2","0,0","979 370 016","468 393 984"
"10:41:59.346, 29 Apr 2021","1,2","0,0","979 370 016","472 588 288"
"10:42:00.346, 29 Apr 2021","1,3","0,0","979 370 016","480 976 896"
"10:42:01.347, 29 Apr 2021","1,4","0,0","979 370 016","487 268 352"
"10:42:02.347, 29 Apr 2021","1,3","0,0","979 370 016","493 559 808"
"10:42:03.347, 29 Apr 2021","1,1","0,0","979 370 016","499 851 264"
"10:42:04.347, 29 Apr 2021","1,3","0,0","979 370 016","508 239 872"
"10:42:05.347, 29 Apr 2021","1,4","0,0","979 370 016","514 531 328"
"10:42:06.347, 29 Apr 2021","1,4","0,0","979 370 016","520 822 784"
"10:42:07.347, 29 Apr 2021","1,2","0,0","979 370 016","527 114 240"
"10:42:08.347, 29 Apr 2021","1,2","0,0","979 370 016","533 405 696"
"10:42:09.348, 29 Apr 2021","1,3","0,0","979 370 016","539 697 152"
"10:42:10.348, 29 Apr 2021","1,4","0,0","979 370 016","545 988 608"
"10:42:11.348, 29 Apr 2021","1,8","0,0","979 370 016","550 182 912"
"10:42:12.348, 29 Apr 2021","1,2","0,0","979 370 016","558 571 520"
"10:42:13.348, 29 Apr 2021","1,1","0,0","979 370 016","562 765 824"
"10:42:14.348, 29 Apr 2021","12,7","0,0","979 370 016","230 055 584"
"10:42:15.348, 29 Apr 2021","4,4","0,0","979 370 016","242 638 496"
"10:42:16.348, 29 Apr 2021","2,5","0,0","979 370 016","257 318 560"
"10:42:17.349, 29 Apr 2021","4,4","0,0","979 370 016","271 998 624"
"10:42:18.349, 29 Apr 2021","2,4","0,0","979 370 016","284 581 536"
"10:42:19.349, 29 Apr 2021","2,3","0,0","979 370 016","299 261 600"
"10:42:20.349, 29 Apr 2021","2,2","0,0","979 370 016","313 941 664"
"10:42:21.349, 29 Apr 2021","2,3","0,0","979 370 016","328 621 728"
"10:42:22.349, 29 Apr 2021","2,4","0,0","979 370 016","341 204 640"
"10:42:23.349, 29 Apr 2021","2,2","0,0","979 370 016","353 787 552"
"10:42:24.349, 29 Apr 2021","2,3","0,0","979 370 016","368 467 616"
"10:42:25.350, 29 Apr 2021","2,2","0,0","979 370 016","383 147 680"
"10:42:26.350, 29 Apr 2021","2,4","0,0","979 370 016","397 827 744"
"10:42:27.350, 29 Apr 2021","1,9","0,0","979 370 016","412 507 808"
"10:42:28.350, 29 Apr 2021","1,9","0,0","979 370 016","425 090 720"
"10:42:29.350, 29 Apr 2021","2,4","0,0","979 370 016","439 770 784"
"10:42:30.350, 29 Apr 2021","2,4","0,0","979 370 016","454 450 848"
"10:42:31.350, 29 Apr 2021","2,2","0,0","979 370 016","469 130 912"
"10:42:32.351, 29 Apr 2021","1,9","0,0","979 370 016","483 810 976"
"10:42:33.351, 29 Apr 2021","2,4","0,0","979 370 016","496 393 888"
"10:42:34.351, 29 Apr 2021","3,2","0,0","979 370 016","511 073 952"
"10:42:35.351, 29 Apr 2021","2,1","0,0","979 370 016","525 754 016"
"10:42:36.351, 29 Apr 2021","2,8","0,0","979 370 016","540 434 080"
"10:42:37.351, 29 Apr 2021","2,4","0,0","979 370 016","557 211 296"
"10:42:38.351, 29 Apr 2021","2,3","0,0","979 370 016","569 794 208"
"10:42:39.351, 29 Apr 2021","2,1","0,0","979 370 016","584 474 272"
"10:42:40.352, 29 Apr 2021","2,2","0,0","979 370 016","599 154 336"
"10:42:41.352, 29 Apr 2021","2,5","0,0","979 370 016","613 834 400"
"10:42:42.352, 29 Apr 2021","2,1","0,0","979 370 016","626 417 312"
"10:42:43.352, 29 Apr 2021","3,1","0,0","979 370 016","641 097 376"
"10:42:44.352, 29 Apr 2021","2,1","0,0","979 370 016","655 777 440"
"10:42:45.352, 29 Apr 2021","1,9","0,0","979 370 016","670 457 504"
"10:42:46.352, 29 Apr 2021","2,9","0,0","979 370 016","149 101 728"
"10:42:47.352, 29 Apr 2021","2,4","0,0","979 370 016","163 781 792"
"10:42:48.353, 29 Apr 2021","6,3","0,0","979 370 016","178 461 856"
"10:42:49.353, 29 Apr 2021","3,3","0,0","979 370 016","209 919 136"
"10:42:50.353, 29 Apr 2021","2,9","0,0","979 370 016","228 793 504"
"10:42:51.353, 29 Apr 2021","1,9","0,0","979 370 016","241 376 416"
"10:42:52.353, 29 Apr 2021","3,4","0,0","979 370 016","264 445 088"
"10:42:53.353, 29 Apr 2021","2,1","0,0","979 370 016","277 028 000"
"10:42:54.353, 29 Apr 2021","2,2","0,0","979 370 016","291 708 064"
