Date,Size [B],Used [B]
2021-04-30T10:51:55.782386,479521040,359339760
2021-04-30T10:51:58.282612,462653240,376207560
2021-04-30T10:52:00.782841,444539280,394321520
2021-04-30T10:52:03.283075,424995088,413865712
2021-04-30T10:52:05.783304,404684752,434176048
2021-04-30T10:52:08.283530,385124280,453736520
2021-04-30T10:52:10.783759,366272784,472588016
2021-04-30T10:52:13.283981,345979288,492881512
2021-04-30T10:52:15.784204,324259256,514601544
2021-04-30T10:52:18.284449,301206872,537653928
2021-04-30T10:52:20.784665,278823712,560037088
2021-04-30T10:52:23.284884,255067192,583793608
2021-04-30T10:52:25.785132,230715768,608145032
2021-04-30T10:52:28.285368,207547560,631313240
2021-04-30T10:52:30.785595,164686176,674174624
2021-04-30T10:52:33.285858,137945472,700915328
2021-04-30T10:52:35.786075,480238920,358621880
2021-04-30T10:52:38.286311,453401344,385459456
2021-04-30T10:52:40.786535,427091080,411769720
2021-04-30T10:52:43.286789,401930808,436929992
2021-04-30T10:52:45.787001,375766672,463094128
2021-04-30T10:52:48.287218,350626072,488234728
2021-04-30T10:52:50.787436,325428576,513432224
2021-04-30T10:52:53.287648,298143264,540717536
2021-04-30T10:52:55.787862,272984104,565876696
2021-04-30T10:52:58.288090,246746592,592114208
2021-04-30T10:53:00.788326,221588856,617271944
2021-04-30T10:53:03.288569,196444192,642416608
2021-04-30T10:53:05.788789,171240816,667619984
2021-04-30T10:53:08.288989,144241832,694618968
2021-04-30T10:53:10.789193,118738096,720122704
2021-04-30T10:53:13.289419,459882856,378977944
2021-04-30T10:53:15.789655,434713712,404147088
2021-04-30T10:53:18.289871,409521248,429339552
2021-04-30T10:53:20.790107,384346056,454514744
2021-04-30T10:53:23.290328,357057080,481803720
2021-04-30T10:53:25.790552,329861480,508999320
2021-04-30T10:53:28.290809,304680224,534180576
2021-04-30T10:53:30.791026,280413712,558447088
2021-04-30T10:53:33.291246,254277848,584582952
2021-04-30T10:53:35.791474,228013152,610847648
2021-04-30T10:53:38.291690,200709728,638151072
2021-04-30T10:53:40.791910,175531096,663329704
2021-04-30T10:53:43.292136,149498472,689362328
